(* GENERATED by make_table: DO NOT EDIT! *)
\nscr 𝓃
\LJcy Љ
\dd ⅆ
\Omacr Ō
\npreceq ⪯̸
\Gcirc Ĝ
\utilde ũ
\rdca ⤷
\racute ŕ
\mstpos ∾
\supnE ⊋
\NotLessLess ≪̸︀
\iiint ∭
\uscr 𝓊
\Sfr 𝔖
\nsupseteqq ⊉
\nwarrow ↖
\twoheadrightarrow ↠
\sccue ≽
\NotSquareSuperset ⊐̸
\ee ⅇ
\boxbox ⧉
\andand ⩕
\LeftVectorBar ⥒
\eg ⪚
\csc csc
\NotRightTriangleEqual ⋭
\filig ﬁ
\atilde ã
\ring ˚
\congdot ⩭
\gE ≧
\rcedil ŗ
\el ⪙
\HorizontalLine ─
\incare ℅
\hoarr ⇿
\SOFTcy Ь
\conint ∮
\OverParenthesis ︵
\Uogon Ų
\supne ⊋
\num #
\zcy з
\Hfr ℌ
\dtri ▿
\FilledSmallSquare ◾
\SucceedsEqual ≽
\leftthreetimes ⋋
\ycirc ŷ
\sqcup ⊔
\DoubleLeftArrow ⇐
\gtrless ≷
\ge ≥
\Product ∏
\NotExists ∄
\gg ≫
\curlyvee ⋎
\ntrianglerighteq ⋭
\Colon ∷
\rbrke ⦌
\LeftDownVector ⇃
\gl ≷
\lrcorner ⌟
\mapstodown ↧
\excl !
\cdots ⋯
\larr ←
\dtdot ⋱
\kgreen ĸ
\rtri ▹
\rbarr ⤍
\ocy о
\gt >
\DownLeftRightVector ⥐
\cup ∪
\updownarrow ↕
\Imacr Ī
\cross ✗
\Acirc Â
\lvertneqq ≨︀
\ccaps ⩍
\NotLeftTriangleEqual ⋬
\IJlig Ĳ
\boxplus ⊞
\epsilon ϵ
\zfr 𝔷
\late ⪭
\ic ​
\lrhar ⇋
\gsim ≳
\inf inf
\top ⊤
\odsold ⦼
\circlearrowright ↻
\rtimes ⋊
\ii ⅈ
\DoubleRightTee ⊨
\dcy д
\boxdL ╕
\duhar ⥯
\vert |
\sacute ś
\in ∈
\Assign ≔
\nsim ≁
\boxdR ╒
\o ο
\radic √
\it ⁢
\int ∫
\cwint ∱
\ForAll ∀
\simplus ⨤
\isindot ⋵
\rightthreetimes ⋌
\supseteqq ⊇
\bnot ⌐
\rppolint ⨒
\def ≝
\TScy Ц
\lE ≦
\ffilig ﬃ
\deg deg
\{ {
\RightVector ⇀
\ofr 𝔬
\| |
\liminf liminf
\} }
\LeftUpTeeVector ⥠
\scirc ŝ
\scedil ş
\ufisht ⥾
\LeftUpDownVector ⥑
\questeq ≟
\leftarrow ←
\Ycy Ы
\Coproduct ∐
\det det
\boxdl ┐
\Aopf 𝔸
\srarr →︀
\lbrke ⦋
\boxdr ┌
\Ntilde Ñ
\gnap ⪊
\Cap ⋒
\swarhk ⤦
\ogt ⧁
\emptyset ∅︀
\harrw ↭
\lbarr ⤌
\Tilde ∼
\delta δ
\Hopf ℍ
\dfr 𝔡
\le ≤
\lg lg
\ohm Ω
\Jsercy Ј
\quaternions ℍ
\DoubleLongLeftArrow 
\Ncy Н
\nabla ∇
\ltcir ⩹
\ll ≪
\ln ln
\rmoust ⎱
\Oopf 𝕆
\nbsp  
\Kcedil Ķ
\vdots ⋮
\NotLessTilde ≴
\lt <
\djcy ђ
\DownRightTeeVector ⥟
\Ograve Ò
\boxhD ╥
\nsime ≄
\egsdot ⪘
\mDDot ∺
\bigodot ⊙
\Vopf 𝕍
\looparrowright ↬
\yucy ю
\trade ™
\Yfr 𝔜
\kjcy ќ
\mp ∓
\leftrightarrows ⇆
\uharl ↿
\ncap ⩃
\Iogon Į
\NotSubset ⊄
\Bumpeq ≎
\mu μ
\FilledVerySmallSquare 
\breve ˘
\boxhU ╨
\Sigma Σ
\uharr ↾
\xrArr 
\ne ≠
\oS Ⓢ
\xodot ⊙
\ni ∋
\mdash —
\Verbar ‖
\die ¨
\veebar ⊻
\UpArrowBar ⤒
\Ncaron Ň
\RightArrowBar ⇥
\LongLeftArrow 
\rceil ⌉
\LeftDownVectorBar ⥙
\umacr ū
\Hacek ˇ
\odblac ő
\lmidot ŀ
\dopf 𝕕
\boxhd ┬
\dim dim
\vnsub ⊄
\Bscr ℬ
\plussim ⨦
\doublebarwedge ⌆
\nu ν
\eqcolon ≕
\luruhar ⥦
\Nfr 𝔑
\preceq ⪯
\LeftTee ⊣
\div ÷
\nVDash ⊯
\kopf 𝕜
\Iscr ℐ
\vnsup ⊅
\gneq ≩
\backepsilon ϶
\boxhu ┴
\ominus ⊖
\or ∨
\lesdot ⩿
\RightVectorBar ⥓
\tcedil ţ
\hstrok ħ
\nrarrc ⤳̸
\ropf 𝕣
\diamond ⋄
\smid ∣︀
\nltri ⋪
\Pscr 𝒫
\vartheta ϑ
\therefore ∴
\pi π
\ntrianglelefteq ⋬
\nearrow ↗
\pm ±
\natural ♮
\ucy у
\olt ⧀
\Cfr ℭ
\yopf 𝕪
\Otilde Õ
\ntriangleleft ⋪
\pr ≺
\Wscr 𝒲
\midcir ⫰
\Lacute Ĺ
\DoubleDot ¨
\Tstrok Ŧ
\nrarrw ↝̸
\uArr ⇑
\nLtv ≪̸︀
\rangle 〉
\olcir ⦾
\Auml Ä
\Succeeds ≻
\DoubleLongLeftRightArrow 
\TSHcy Ћ
\gammad Ϝ
\epsiv ɛ
\notinva ∉̸
\notinvb ⋷
\eqvparsl ⧥
\notinvc ⋶
\nsubE ⊈
\supplus ⫀
\RightUpDownVector ⥏
\Tab 	
\Lcedil Ļ
\backslash \
\pointint ⨕
\jcy й
\iocy ё
\escr ℯ
\submult ⫁
\iiota ℩
\lceil ⌈
\omacr ō
\gneqq ≩
\gcirc ĝ
\dotsquare ⊡
\ccaron č
\Square □
\RightDownTeeVector ⥝
\Ouml Ö
\lurdshar ⥊
\SuchThat ∋
\setminus ∖
\lscr ℓ
\LessLess ⪡
\Sub ⋐
\sc ≻
\rx ℞
\RightFloor ⌋
\blacksquare ▪
\ufr 𝔲
\block █
\dots …
\nvsim ≁̸
\caret ⁁
\demptyv ⦱
\Sum ∑
\sscr 𝓈
\nsube ⊈
\Sup ⋑
\ccupssm ⩐
\Because ∵
\harrcir ⥈
\capbrcup ⩉
\RightUpVectorBar ⥔
\caps ∩︀
\ohbar ⦵
\laemptyv ⦴
\uacute ú
\straightphi φ
\RightDoubleBracket 〛
\zscr 𝓏
\uogon ų
\Uarr ↟
\nsucc ⊁
\RBarr ⤐
\NotRightTriangleBar ⧐̸
\to →
\rpar )
\rdsh ↳
\jfr 𝔧
\ldquor „
\bsime ⋍
\lAtail ⤛
\Hcirc Ĥ
\aacute á
\dot ˙
\Tcy Т
\nsub ⊄
\kappa κ
\ovbar ⌽
\shcy ш
\kappav ϰ
\ropar 〙
\gtcc ⪧
\ecolon ≕
\circledast ⊛
\colon :
\timesbar ⨱
\precnsim ⋨
\ord ⩝
\real ℜ
\nexists ∄
\nsup ⊅
\zhcy ж
\imacr ī
\egrave è
\acirc â
\grave `
\biguplus ⊎
\HumpEqual ≏
\GreaterSlantEqual ⩾
\capand ⩄
\yuml ÿ
\orv ⩛
\Icy И
\rightharpoondown ⇁
\upsilon υ
\preccurlyeq ≼
\ShortUpArrow ⌃︀
\searhk ⤥
\commat @
\Sqrt √
\wp ℘
\succnapprox ⋩
\wr ≀
\NotTildeTilde ≉
\dcaron ď
\Tfr 𝔗
\bigwedge ⋀
\DScy Ѕ
\nrtrie ⋭
\esim ≂
\Not ⫬
\xmap 
\rect ▭
\Fouriertrf ℱ
\xi ξ
\NotTilde ≁
\gbreve ğ
\par ∥
\ddots ⋱
\nhArr ⇎
\lsim ≲
\RightCeiling ⌉
\nedot ≠︀
\thksim ∼︀
\lEg ⋚
\Ifr ℑ
\emsp  
\lopar 〘
\iiiint ⨌
\straightepsilon ε
\intlarhk ⨗
\image ℑ
\sqsubseteq ⊑
\lnapprox ⪉
\Leftrightarrow ⇔
\cemptyv ⦲
\alpha α
\uml ¨
\barwedge ⊼
\KHcy Х
\tilde ˜
\Superset ⊃
\gesles ⪔
\bigoplus ⊕
\boxuL ╛
\rbbrk 〕
\nrightarrow ↛
\hkswarow ⤦
\DiacriticalDoubleAcute ˝
\nbumpe ≏̸
\uhblk ▀
\NotSupersetEqual ⊉
\ntgl ≹
\Fopf 𝔽
\boxuR ╘
\swarr ↙
\nsqsube ⋢
\pluscir ⨢
\pcy п
\leqslant ⩽
\lnap ⪉
\lthree ⋋
\smte ⪬
\olcross ⦻
\nvrArr ⇏
\andslope ⩘
\MediumSpace  
\boxvH ╪
\Nacute Ń
\nGtv ≫̸︀
\Mopf 𝕄
\dfisht ⥿
\boxvL ╡
\pertenk ‱
\NotPrecedes ⊀
\profalar ⌮
\roplus ⨮
\boxvR ╞
\utrif ▴
\uHar ⥣
\nltrie ⋬
\NotNestedGreaterGreater ⒢̸
\smtes ⪬︀
\LeftAngleBracket 〈
\iogon į
\ExponentialE ⅇ
\Topf 𝕋
\GreaterEqual ≥
\DownTee ⊤
\boxul ┘
\wreath ≀
